Date,Close
2022-08-31,104.72
2022-09-01,104.78
2022-09-02,105.28
2022-09-03,104.44
2022-09-04,104.10
2022-09-05,104.94
2022-09-06,105.48
2022-09-07,105.34
2022-09-08,104.69
2022-09-09,106.45
2022-09-10,106.46
2022-09-11,106.50
2022-09-12,107.38
2022-09-13,106.68
2022-09-14,105.36
2022-09-15,105.16
2022-09-16,104.62
2022-09-17,104.38
2022-09-18,104.38
2022-09-19,103.68
2022-09-20,103.41
2022-09-21,103.46
2022-09-22,102.82
2022-09-23,101.25
2022-09-24,101.26
2022-09-25,101.23
2022-09-26,100.25
2022-09-27,100.42
2022-09-28,99.06
2022-09-29,97.63
2022-09-30,98.12
2022-10-01,97.31
2022-10-02,97.18
2022-10-03,98.99
2022-10-04,99.73
2022-10-05,98.92
2022-10-06,97.74
2022-10-07,97.54
2022-10-08,97.38
2022-10-09,97.26
2022-10-10,97.71
2022-10-11,97.28
2022-10-12,96.99
2022-10-13,96.70
2022-10-14,97.96
2022-10-16,97.58
2022-10-17,98.74
2022-10-18,98.75
2022-10-19,99.37
2022-10-20,98.55
2022-10-21,98.98
2022-10-22,99.35
2022-10-23,99.32
2022-10-24,98.78
2022-10-25,98.79
2022-10-26,98.98
2022-10-27,99.44
2022-10-28,99.70
2022-10-31,99.53
2022-11-01,99.93
2022-11-02,99.31
2022-11-03,98.39
2022-11-04,99.84
2022-11-07,100.15
2022-11-08,100.94
2022-11-09,101.14
2022-11-10,101.67
2022-11-11,101.43
2022-11-13,102.08
2022-11-14,102.60
2022-11-15,102.25
2022-11-16,101.36
2022-11-17,101.57
2022-11-18,102.39
2022-11-21,102.67
2022-11-22,102.69
2022-11-23,103.18
2022-11-24,103.68
2022-11-25,104.09
2022-11-28,103.00
2022-11-29,103.89
2022-11-30,104.36
2022-12-01,103.81
2022-12-02,104.14
2022-12-05,103.87
2022-12-06,104.06
2022-12-07,103.57
2022-12-08,102.95
2022-12-09,104.10
2022-12-12,103.26
2022-12-13,103.17
2022-12-14,102.84
2022-12-15,102.35
2022-12-16,102.19
2022-12-19,102.57
2022-12-20,102.50
2022-12-21,103.37
2022-12-22,103.20
2022-12-23,103.67
2022-12-27,103.79
2022-12-28,103.82
2022-12-29,104.11
2022-12-30,103.82
2023-01-02,104.65
2023-01-03,105.64
2023-01-04,107.22
2023-01-05,106.80
2023-01-06,107.30
2023-01-09,106.78
2023-01-10,106.47
2023-01-11,106.46
2023-01-12,106.81
2023-01-13,106.81
2023-01-14,107.07
2023-01-15,107.07
2023-01-16,107.06
2023-01-17,106.83
2023-01-18,106.91
2023-01-19,106.51
2023-01-20,107.31
2023-01-23,107.21
2023-01-24,107.29
2023-01-25,106.64
2023-01-26,107.17
2023-01-27,107.20
2023-01-30,106.85
2023-01-31,107.03
2023-02-01,107.22
2023-02-02,107.71
2023-02-03,107.25
2023-02-06,106.07
2023-02-07,106.20
2023-02-08,106.20
2023-02-09,106.14
2023-02-10,105.86
2023-02-13,106.41
2023-02-14,106.13
2023-02-15,106.69
2023-02-16,107.13
2023-02-17,106.99
2023-02-20,107.77
2023-02-21,107.16
2023-02-22,106.47
2023-02-23,107.37
2023-02-24,107.29
2023-02-25,107.41
2023-02-26,107.38
2023-02-27,107.77
2023-02-28,107.59
2023-03-01,107.30
2023-03-02,107.45
2023-03-03,107.66
2023-03-06,108.13
2023-03-07,107.65
2023-03-08,107.63
2023-03-09,106.86
2023-03-10,104.36
2023-03-13,102.29
2023-03-14,102.79
2023-03-15,101.38
2023-03-16,101.85
2023-03-17,100.40
2023-03-20,101.58
2023-03-21,103.05
2023-03-22,102.55
2023-03-23,101.97
2023-03-24,101.26
2023-03-27,102.19
2023-03-28,101.72
2023-03-29,102.92
2023-03-31,103.97
2023-04-02,104.12
2023-04-03,104.08
2023-04-04,103.38
2023-04-05,103.27
2023-04-06,104.14
2023-04-11,105.04
2023-04-12,105.34
2023-04-13,105.11
2023-04-14,105.47
2023-04-17,105.66
2023-04-18,106.14
2023-04-19,106.09
2023-04-20,106.82
2023-04-21,106.15
2023-04-23,106.32
2023-04-24,106.41
2023-04-26,106.07
2023-04-27,106.11
2023-04-28,106.96
2023-05-02,106.73
2023-05-03,106.05
2023-05-04,105.53
2023-05-05,105.88
2023-05-08,107.15
2023-05-09,107.05
2023-05-10,105.96
2023-05-11,105.84
2023-05-12,105.62
2023-05-15,105.48
2023-05-16,105.31
2023-05-17,105.04
2023-05-18,105.45
2023-05-19,105.44
2023-05-21,105.37
2023-05-22,105.82
2023-05-23,105.66
2023-05-24,104.45
2023-05-25,103.33
2023-05-26,103.46
2023-05-27,103.65
2023-05-29,103.69
2023-05-30,102.98
2023-05-31,102.79
2023-06-01,102.90
2023-06-02,104.50
2023-06-05,104.55
2023-06-06,103.77
2023-06-07,104.33
2023-06-08,104.61
2023-06-09,103.96
2023-06-10,104.15
2023-06-11,104.15
2023-06-12,104.13
2023-06-13,103.93
2023-06-14,104.22
2023-06-15,104.23
2023-06-16,104.12
2023-06-19,103.99
2023-06-20,102.94
2023-06-21,102.64
2023-06-22,102.12
2023-06-23,101.87
2023-06-25,101.87
2023-06-26,102.19
2023-06-27,102.40
2023-06-28,103.23
2023-06-29,103.70
2023-06-30,104.76
2023-07-02,104.91
2023-07-03,105.33
2023-07-04,105.37
2023-07-05,104.48
2023-07-06,102.84
2023-07-07,102.65
2023-07-09,102.60
2023-07-10,102.73
2023-07-11,102.33
2023-07-12,103.64
2023-07-13,103.88
2023-07-14,103.54
2023-07-15,103.53
2023-07-16,103.53
2023-07-17,103.79
2023-07-18,103.37
2023-07-19,104.48
2023-07-20,104.88
2023-07-21,105.65
2023-07-22,105.65
2023-07-23,105.65
2023-07-24,105.64
2023-07-25,106.33
2023-07-26,106.74
2023-07-27,107.62
2023-07-28,108.04
2023-07-29,107.92
2023-07-31,107.72
2023-08-01,107.33
2023-08-02,105.39
2023-08-03,104.89
2023-08-04,104.53
2023-08-06,104.47
2023-08-07,104.61
2023-08-08,104.62
2023-08-09,104.51
2023-08-10,105.44
2023-08-11,104.84
2023-08-12,104.40
2023-08-13,104.40
2023-08-14,104.63
2023-08-15,104.34
2023-08-16,104.03
2023-08-17,103.67
2023-08-18,103.22
2023-08-19,103.16
2023-08-21,103.25
2023-08-22,103.19
2023-08-23,103.63
2023-08-24,103.31
2023-08-25,103.76
2023-08-26,103.85
2023-08-27,103.87
2023-08-28,104.19
2023-08-29,105.34
2023-08-30,105.10
2023-08-31,105.57
2023-09-01,105.62
2023-09-02,105.54
2023-09-03,105.54
2023-09-04,106.25
2023-09-05,105.57
2023-09-06,105.78
2023-09-07,105.86
2023-09-08,105.62
2023-09-09,105.97
2023-09-10,105.99
2023-09-11,106.91
2023-09-12,106.93
2023-09-13,106.45
2023-09-14,107.65
2023-09-15,107.77
2023-09-16,107.21
2023-09-17,107.19
2023-09-18,107.22
2023-09-19,107.12
2023-09-20,107.03
2023-09-21,106.40
2023-09-22,105.84
2023-09-24,105.58
